_id,sentence,target,aspect,score,type
1040,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,SABMiller,Corporate/Sales/Sales,0.551,headline
1044,easyJet expects resilient demand to withstand security fears,easyJet,Corporate/Risks,0.165,headline
1045,Compass Group says positive for year ahead,Compass Group,Stock/Price Action/Future Price/Direction,0.634,headline
105,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,Bunzl,Corporate/Dividend Policy/Dividend/Dividend going up,0.401,headline
1052,US dollar wipes out sales gains for SABMiller,SABMiller,Corporate/Sales/Sales,-0.582,headline
1053,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",SABMiller,Corporate/Sales/Sales,0.043,headline
1057,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,SABMiller,Corporate/Sales/Sales,0.429,headline
1061,Valeant CEO Pledges to Heed Critics After `Painful' Experience,Valeant,Corporate/Company Communication,-0.381,headline
1063,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Aviva,Corporate/Company Communication,0.324,headline
1063,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Direct Line Insurance Group PLC,Corporate/Company Communication,0.345,headline
1065,StanChart and RBS struggle in Bank of England stress tests,RBS,Economy/Central Banks,-0.738,headline
1065,StanChart and RBS struggle in Bank of England stress tests,Standard Chartered,Corporate/Regulatory,-0.39,headline
107,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,Lloyds,Corporate/Dividend Policy/Dividend,0.522,headline
1073,Barclays sells benchmark indices unit to Bloomberg,Bloomberg,Corporate/Strategy/Divestment,0.281,headline
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Morrisons,Stock/Price Action/Future Price,-0.251,headline
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Tesco,Stock/Price Action/Future Price,-0.222,headline
1077,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Sainsbury,Corporate/Financial/Bankruptcy/Entering bankruptcy,-0.259,headline
1079,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Shell,Stock/Insider Activity/Insider Trading,0.276,headline
1079,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Statoil,Stock/Insider Activity/Insider Trading,0.294,headline
1089,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,AstraZeneca,Corporate/M&A/Joint Venture,0.372,headline
1095,Shell and BG Shareholders to Vote on Deal at End of January,Shell,Corporate/Sales/Deal,0.0,headline
1109,AstraZeneca chases Acerta to secure next cancer drug winner,AstraZeneca,Stock/Buyside/Stock Buyside,0.519,headline
1112,CompaniesTesco off to a bad start over Xmas â€“ Kantar,Tesco,Stock/Price Action,-0.604,headline
1117,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",Julius Baer,Stock/Buyside/Stock Buyside,0.31,headline
1118,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,Dixons Carphone,Corporate/Dividend Policy/Dividend/Dividend going up,0.766,headline
1120,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,Wilshire Bancorp,Corporate/M&A,0.818,headline
1122,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,ITV,Stock/Price Action/Current Price/Stock Price,0.611,headline
1122,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,Comcast,Stock/Price Action,0.623,headline
1131,Glencore Studies Possible IPO for Agricultural Trading Business,Glencore,Stock/IPO,0.408,headline
1132,Can Christmas Save Sainsbury's plc And Tesco plc?,Tesco,Corporate/Rumors/Rumors,-0.175,headline
1133,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,Takeda,Corporate/M&A/,0.47,headline
1142,Bilfinger Industrial Services win Â£100m BP contract extension,BP,Corporate/Sales/Deal,0.113,headline
1143,"Standard Chartered, RBS Escape Capital Raising in Stress Test",RBS,Economy/Central Banks,0.335,headline
1143,"Standard Chartered, RBS Escape Capital Raising in Stress Test",Standard Chartered,Corporate/Regulatory,0.321,headline
1147,AstraZeneca weighing up Acerta bid to secure blood cancer drug,AstraZeneca,Stock/Buyside/Stock Buyside,0.284,headline
115,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,Novartis,Corporate/M&A,0.189,headline
1154,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,Home Retail Group,Economy/Central Banks/Monetary Policy/Monetary Policy - SNB,0.492,headline
1155,L&G completes UK's largest medically underwritten bulk pension risk deal,L&G,Corporate/Risks,0.25,headline
116,Meggitt share price tumbles as profit falls in 'challenging year',Meggitt,Stock/Price Action,-0.854,headline
1160,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,Shire,Corporate/M&A/M&A,0.437,headline
1165,Kingfisher share price slides on cost to implement new strategy,Kingfisher,Stock/Price Action,-0.786,headline
1168,Shire says internal synergy goals from Baxalta deal higher,Shire,Corporate/Company Communication/Dividend,0.287,headline
1172,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",BHP,Economy/Central Banks/?,-0.736,headline
1183,Morrisons and Debenhams surprise City with Christmas bounce back,Morrisons,Stock/Price Action/Volatility,0.619,headline
1183,Morrisons and Debenhams surprise City with Christmas bounce back,Debenhams,Stock/Price Action/Volatility,0.573,headline
1190,"Britain's FTSE falls back with Ashtead, commodities under pressure",Ashtead,Market/Volatility,-0.59,headline
1192,Tesco shares jump 6% after Christmas sales beat expectations,Tesco,Corporate/Sales,0.814,headline
1195,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",UBI,Corporate/Risks/Extraordinary Meeting,0.133,headline
1200,CompaniesHome Retail trims gains but is considered 'in play',Home Retail,Stock/Price Action,0.135,headline
1202,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,San Miguel,Corporate/Sales/Partnership,0.19,headline
1202,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,SABMiller,Corporate/Sales/Partnership,0.577,headline
1203,Investors Remain Skeptical About Shell-BG Deal,Shell,Corporate/Rumors/Rumors,-0.266,headline
1210,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,Shire,Stock/Buyside/Stock Buyside,0.487,headline
1217,Shire share price under pressure after $32bn Baxalta deal,Baxalta,Stock/Price Action,-0.198,headline
1217,Shire share price under pressure after $32bn Baxalta deal,Shire,Stock/Price Action/Volatility,-0.186,headline
1218,Valeant Names Interim Leader as CEO Remains Hospitalized,Valeant,Corporate/Appointment,0.0,headline
1222,Valeant Said to Name New CEO With Pearson Still Hospitalized,Valeant,Corporate/Appointment,0.015,headline
1223,Shares in BAE Systems hit 10-month high on rating upgrade,BAE,Stock/Coverage,0.905,headline
1224,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,SABMiller,Stock/Buyside/Stock Buyside,0.236,headline
123,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,Astrazeneca,Market/Volatility,-0.12,headline
1230,CompaniesDixons Carphone to close 134 UK stores as sales jump,Dixons Carphone,Corporate/Sales,0.144,headline
1239,"Broker tips: RBS, Croda, Sage",Sage,Corporate/Rumors/Rumors,0.393,headline
1239,"Broker tips: RBS, Croda, Sage",RBS,Corporate/Rumors/Rumors,0.381,headline
1241,Shell share price: Standard Life announce position against BG acquisition,Shell,Corporate/M&A/M&A,-0.134,headline
1241,Shell share price: Standard Life announce position against BG acquisition,Standard Life,Corporate/M&A/M&A,-0.099,headline
1242,Tesco share price down as grocer faces SFO investigation outcome,Tesco,Stock/Price Action,-0.542,headline
1243,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",Tesco,Market/Volatility/Volatility,0.439,headline
1256,Greene King's third quarter sales boosted by festive season,Greene King,Corporate/Sales,0.363,headline
127,ARM Royalties Accelerate as Smartphone Market Regains Strength,ARM,Market/Market,0.571,headline
128,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,ConAgra,Corporate/Appointment,0.101,headline
1283,InterContinental Hotels Group share price climbs on $1.5bn special dividend,InterContinental Hotels Group,Corporate/Dividend Policy,0.631,headline
1284,Amazon to attack UK grocery market with Morrisons deal,Morrisons,Market/Market/Market Outlook,0.333,headline
1287,AstraZeneca share price: Acerta deal pays off with orphan drug status,AstraZeneca,Corporate/M&A,0.495,headline
1288,"BHP Billiton posts big loss, slashes dividend",BHP Billiton,Corporate/Dividend Policy,-0.938,headline
1289,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,LSE,Corporate/M&A/M&A,0.136,headline
129,BG Group appoints new CEO one month early,BG Group,Corporate/Appointment,0.069,headline
1297,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",Centrica PLC,Corporate/Rumors/Scoop,0.1,headline
1297,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",John Wood Group PLC,Corporate/Rumors/Scoop,0.103,headline
1311,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,Legal & General Group Plc,Corporate/Rumors/Rumors,-0.271,headline
1313,BHP Billiton drags FTSE lower after slashing dividend,BHP Billiton,Corporate/Dividend Policy,-0.604,headline
1314,"BHP Billiton slashes dividend, posts $5.67 billion net loss",BHP Billiton,Corporate/Dividend Policy,-0.341,headline
1315,CompaniesMeggitt profits hit by weak energy and military markets,Meggitt,Market/Market,-0.302,headline
1316,Royal Mail share price edges lower as group raises stamp price,Royal Mail,Stock/Price Action,-0.269,headline
132,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",Lonmin,Corporate/Strategy/Divestment,-0.314,headline
1323,GlaxoSmithKline starts hunt for successor to CEO Witty,GlaxoSmithKline,Corporate/Appointment/Executive Appointment,0.0,headline
1324,"Rio Tinto swings to loss, drops dividend policy",Rio Tinto,Corporate/Dividend Policy,-0.511,headline
1327,France raises concerns over proposed LSE-Deutsche Boerse deal,LSE,Corporate/Risks/Sale Halt,-0.347,headline
1334,MarketsBP promotes upstream boss to deputy CEO,BP,Corporate/Appointment,0.066,headline
1336,Legal & General share price: Finance chief to step down,Legal & General,Corporate/Appointment,-0.166,headline
1343,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,JP Morgan Chase,Corporate/Appointment/Executive Appointment,-0.092,headline
1346,Arm profits and sales up as shift away from mobile gains pace,Arm,Corporate/Sales,0.497,headline
1349,Barclays appoints JPMorgan's Paul Compton as new COO,JPMorgan,Corporate/Appointment/Executive Appointment,-0.014,headline
1349,Barclays appoints JPMorgan's Paul Compton as new COO,Barclays,Corporate/Appointment,0.036,headline
135,U.S. Debt Lures Schroders as ECB Depresses Rates,Schroders,Economy/Central Banks,0.048,headline
1350,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",EasyJet,Corporate/Legal,-0.238,headline
1353,NYSE owner ICE considers offer for LSE,LSE,Corporate/Rumors/Scoop,0.396,headline
1356,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,ICE,Corporate/M&A,0.226,headline
1356,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,LSE,Corporate/M&A,0.843,headline
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Balfour Beatty plc,Corporate/Dividend Policy,0.413,headline
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Rival National Grid plc,Corporate/Dividend Policy/Dividend,0.408,headline
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Centrica PLC,Corporate/Dividend Policy/Dividend,0.403,headline
1365,Intertek swings to Â£347 mln loss on oil's slump,Intertek,Market/Volatility,-0.734,headline
1372,Sanofi poaches AstraZeneca scientist as new research head,Sanofi,Corporate/Appointment/Executive Appointment,0.066,headline
1373,Tesco breaks its downward slide by cutting sales decline in half,Tesco,Corporate/Sales,0.172,headline
1376,"News FeedSchroders books solid earnings growth, several board changes",Schroders,Stock/Fundamentals,0.5,headline
1378,Intertek Group announces strategic update outlining its plan,Intertek Group,Corporate/Strategy,0.046,headline
1379,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,London Stock Exchange,Corporate/M&A/M&A,0.327,headline
138,Tullow Oil Suspends Dividend Amid Oil Price Fall,Tullow Oil,Corporate/Dividend Policy,-0.498,headline
1380,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,LSE,Corporate/M&A/Proposed Merger,-0.2,headline
1381,AB InBev to Sell SABMiller Stake in China's Snow Beer,SABMiller,Stock/Signal/Sell Signal,-0.045,headline
1383,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,LSE,Corporate/M&A/M&A,0.105,headline
1387,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,RBS,Corporate/Dividend Policy,0.066,headline
1396,Industry NewsWolseley confident in reslilience amid mixed markets,Wolseley,Market/Market,0.287,headline
1402,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,Tesco,Corporate/Reputation,-0.498,headline
1405,FTSE edges up as investors cheer Kingfisher results,Kingfisher,Stock/Price Action,0.678,headline
1410,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,Barclays,Corporate/Dividend Policy,0.261,headline
1412,Britain's FTSE gets lift from Prudential results,Prudential,Corporate/Financial,0.582,headline
1415,Amazon's grocery deal with Morrisons is only the beginning,Morrisons,Corporate/Sales/Deal,0.389,headline
142,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",Royal Dutch Shell,Corporate/Risks,-0.402,headline
1425,ICE Said to Start Lining Up Financing for LSE Bidding War,LSE,Corporate/Rumors/Rumors,0.328,headline
1426,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",Statoil,Corporate/Appointment/Staff Hiring,-0.242,headline
1431,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,LSE,Corporate/M&A/Proposed Merger,0.358,headline
1435,Aviva weighs cash handout after beating profit forecast,Aviva,Corporate/Dividend Policy,0.377,headline
1436,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",WPP,Stock/Fundamentals,0.555,headline
1443,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Saudi Aramco,Corporate/Strategy/Reorganization,-0.142,headline
1443,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Shell,Corporate/Strategy/Reorganization,-0.102,headline
1449,AB InBev to sell more SAB assets as seeks EU deal approval,SAB,Corporate/M&A/M&A,-0.079,headline
1455,Tesco's Sales Pickup Isn't Enough,Tesco,Corporate/Sales,-0.23,headline
1462,Spain's CaixaBank Expects To Close Deal For Banco BPI,CaixaBank,Corporate/Sales/Deal,0.375,headline
1463,ITV share price: Group mulls takeover of Canada's Entertainment One,ITV,Corporate/M&A/M&A,0.422,headline
1469,Entertainment One dispels ITV takeover rumours,Entertainment One,Corporate/Rumors,0.138,headline
1469,Entertainment One dispels ITV takeover rumours,ITV,Corporate/Rumors,0.003,headline
1475,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,Bank BPH,Stock/Price Action/Volatility/Sell-Off,0.213,headline
1475,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,GE,Stock/Price Action/Volatility/Sell-Off,0.211,headline
1476,Tata Steel working with StanChart for UK unit sale - source,StanChart,Stock/IPO,0.218,headline
1476,Tata Steel working with StanChart for UK unit sale - source,Tata Steel,Corporate/Sales/Deal,0.143,headline
1487,Crown Castle buys Tower Development Corp for $461 million,Tower Development,Corporate/M&A/M&A,0.366,headline
1492,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Lazada,Stock/Price Action/Volatility/Sell-Off,-0.038,headline
1492,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Tesco,Stock/Price Action/Volatility/Sell-Off,0.365,headline
1496,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",CaixaBank,Corporate/Strategy/Company Agreement,0.244,headline
1499,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",CaixaBank,Corporate/Strategy/Company Agreement,0.243,headline
1503,Spain's Caixabank launches new takeover bid for Banco BPI,Caixabank,Corporate/M&A/M&A,0.185,headline
1507,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",Tesco,Corporate/Sales,-0.077,headline
1508,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,ITV,Corporate/M&A/M&A,0.199,headline
1516,Shire Sees Baxalta Deal Closing as Expected After New Rules,Shire,Corporate/Sales/Deal,0.224,headline
1517,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",OCBC,Corporate/M&A/M&A,0.257,headline
1528,Tesco share price steady as analysts weigh in on results,Tesco,Stock/Price Action,0.052,headline
153,Standard Chartered lags on capital worries,Standard Chartered,Corporate/Risks,-0.358,headline
1530,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,Lloyds,Stock/Price Action,0.292,headline
1545,Should You Follow Berkshire Hathaway Into Apple Stock?,Berkshire Hathaway,Corporate/Rumors/Scoop,0.0,headline
1554,Morrisons book second consecutive quarter of sales growth,Morrisons,Corporate/Sales,0.43,headline
1556,Royal Mail gets mixed bag from Ofcom postal regulation report,Royal Mail,Corporate/Regulatory,-0.084,headline
1559,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,Barclays,Stock/Insider Activity,-0.34,headline
156,Standard Life share price: Insurer buys advice firm Pearson Jones,Standard Life,Corporate/Strategy/Corporate Planning,0.364,headline
1560,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",SABMiller,Corporate/Sales/Deal,0.392,headline
1568,Retail giant Kingfisher reports 'solid' start to the year,Kingfisher,Corporate/Company Communication,0.368,headline
158,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Tesco,Corporate/Appointment/Staff Hiring,0.295,headline
158,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Dixons Carphone,Corporate/Appointment,0.129,headline
1581,"Berkshire discloses unit's ties to Iran, opens probe",Berkshire,Corporate/Company Communication,-0.288,headline
1583,Berkshire Hathaway names Kara Raiguel to lead General Re unit,Berkshire,Corporate/Appointment,0.077,headline
1585,"European stocks hover near 3-week low, Dialog and BHP slump",Dialog,Stock/Price Action/Volume/Unusual Low Volume,-0.584,headline
1586,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,Hargreaves Lansdown,Market/Market,0.571,headline
159,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,MillerCoors,Stock/Fundamentals,0.495,headline
1590,Australia clears AB Inbev's $100 billion SABMiller buyout plan,AB InBrev,Corporate/Strategy/Buyout,0.437,headline
1598,Goodwin not to face Scottish prosecution over RBS,RBS,Corporate/Legal,0.114,headline
1599,Royal Mail turnaround proving expensive in tough UK market,Royal Mail,Market/Market,-0.057,headline
1604,Whitbread buys 49% stake in Pure food chain,Whitbread,Corporate/M&A/M&A,0.365,headline
1609,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",Standard Chartered,Corporate/Strategy/Corporate Planning,0.128,headline
1611,Royal Mail share price rallies amid positive broker comments,Royal Mail,Stock/Price Action,0.59,headline
1619,InterContinental Hotels first-quarter global room revenue lags estimates,InterContinental,Corporate/Sales,-0.329,headline
1629,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,AstraZeneca,Corporate/M&A/M&A,0.395,headline
1634,London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,London Stock Exchange,Corporate/M&A/M&A,-0.421,headline
1635,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,Sainsbury,Corporate/Appointment/Executive Reshuffle,0.0,headline
1635,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,Home Retail,Corporate/Appointment,0.0,headline
1636,BP joins forces with Det Norske in Norway,Det Norske,Corporate/Strategy/Company Agreement,0.248,headline
1639,BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,Legal & General,Corporate/Sales,0.252,headline
1640,Johnson Matthey revs up on clean air drive,Johnson Matthey,Corporate/Strategy,0.224,headline
165,RBS will reportedly appoint Howard Davies as its next chairman,RBS,Corporate/Appointment,0.089,headline
1663,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",HSBC,Corporate/Risks,-0.14,headline
1663,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",Goldman Sachs,Corporate/Risks,-0.147,headline
1663,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",Barclays,Corporate/Risks,0.0,headline
1669,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,Asahi,Corporate/Strategy/Investment,0.207,headline
1669,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,SABMiller,Corporate/Strategy/Investment,0.329,headline
1670,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,Deutsche BÃ¶rse,Corporate/Risks,-0.473,headline
1670,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,LSE,Corporate/Risks,-0.415,headline
168,HSBC Hit by Fresh Details of Tax Evasion Claims,HSBC,Corporate/Legal,-0.594,headline
1682,Tesco sales recover as focus returns to core business,Tesco,Corporate/Sales,0.35,headline
1692,Johnson Matthey profit falls but dividend rises,Johnson Matthey,Corporate/Dividend Policy,0.0,headline
1699,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",Domino's Pizza Group plc,Corporate/Rumors/Scoop,0.063,headline
1699,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",ASOS plc,Corporate/Rumors/Scoop,0.0,headline
1700,Priceline's stock jumps to new high for the year after Barclays upgrade,Priceline,Stock/Coverage,0.847,headline
1708,"Tesco set to sell Kipa, Giraffe businesses - Sky News",Tesco,Stock/Signal/Sell Signal,0.23,headline
1708,"Tesco set to sell Kipa, Giraffe businesses - Sky News",Kipa,Stock/Signal/Sell Signal,-0.192,headline
171,Relief for Lewis as Tesco sees sales grow for first time in a year,Tesco,Corporate/Sales,0.42,headline
1712,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,Coca-Cola Companp,Corporate/M&A/M&A,0.259,headline
1712,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,Coca-Cola FEMSA,Corporate/M&A/M&A,0.293,headline
1717,HSBC Says Unit to Book $585 Million Charge on Settlement,HSBC,Corporate/Legal,-0.434,headline
1718,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",JV Partner,Corporate/M&A/M&A,0.427,headline
1728,Aviva promises higher dividends to boost flagging share price,Aviva,Corporate/Dividend Policy,0.281,headline
1734,CompaniesFresnillo shares jump 8% as silver price breaks $21,Fresnillo,Stock/Price Action,0.874,headline
1735,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",Dunelm Group plc,Corporate/Rumors/Rumors,0.14,headline
1735,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",Great Portland Estates plc,Corporate/Rumors/Rumors,0.165,headline
1737,Berkshire seeks to boost its Wells Fargo stake above 10 percent,Wells Fargo,Stock/Signal/Buy Signal,0.429,headline
1741,Tesco share price tumbles after negative broker note,Tesco,Stock/Price Action,-0.779,headline
1742,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,London Stock Exchange,Corporate/M&A/M&A,0.406,headline
1743,UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,Wells Fargo,Stock/Signal/Sell Signal,0.432,headline
1748,Berkshire applies to boost Wells Fargo stake above 10 percent,Wells Fargo,Stock/Signal/Buy Signal,0.484,headline
1750,"Aviva, M&G suspend property funds as investors panic",M&G,Corporate/Risks,-0.807,headline
1754,"UK housing market steadies after Brexit dip, Persimmon says",Perssimon,Market/Market,0.339,headline
1755,BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,Aviva,Corporate/Dividend Policy,0.439,headline
176,Morrisons finance chief to fill gap as CEO leaves early,Morrisons,Corporate/Appointment,-0.114,headline
1764,Builder Persimmon hails 6% rise in house sales,Persimmon,Corporate/Sales,0.435,headline
1779,EasyJet attracts more passengers in June but still lags Ryanair,Ryanair,Corporate/Sales/Sales,0.259,headline
178,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",Persimmon,Stock/Fundamentals,0.937,headline
182,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,Lafarge Holcim,Corporate/Strategy/Share Buyback,0.365,headline
183,Tesco shareholders back ITV head for chairman,Tesco,Corporate/Appointment/Executive Appointment,0.139,headline
184,"Buffett's Berkshire builds Deere stake, dumps Exxon",Exxon,Stock/Signal/Buy Signal,-0.548,headline
184,"Buffett's Berkshire builds Deere stake, dumps Exxon",Deere,Stock/Signal/Buy Signal,0.316,headline
185,Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,Aviva,Corporate/Regulatory,-0.675,headline
186,AstraZeneca's patent on asthma drug invalidated by US court,AstraZeneca,Corporate/Legal,-0.656,headline
187,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,Rolls-Royce,Corporate/Legal/Court Ruling,-0.075,headline
188,Whitbread share price climbs on Q4 sales growth,Whitbread,Stock/Price Action,0.513,headline
190,Warren Buffett defends Berkshire Hathaway's conglomerate structure,Berkshire Hathaway,Corporate/Company Communication,0.144,headline
199,G4S sees profits rise but UK contract problems remain,G4S,Corporate/Risks,0.252,headline
206,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,Friends Life,Corporate/Financial/Financial Results/Earnings,0.387,headline
