Text,Sentiment
"Hey Elon. If you're so concerned about fake accounts, start here:

Who, exactly, are the people behind $TSLA propaganda account 
@WholeMarsBlog
? Why is it such a secret? Do you or Tesla compensate them in any way, or have you ever?",-1
$PPSI getting tight. I think we see a small bounce,1
I will ONLY buy a Tesla How about YOU? $tsla,1
"Amazing! Get Winning alerts 

➡️http://linktr.ee/Xtraders

 $RKT $TWOL  $NDX $CCL $SUNW",1
"SELL $AMZN, BUY $TSLA 🚀🌕",-1
$NQ $ES $TSLA $MSFT $AMZN $NVDA yes I’m here for turnaround Tuesday,1
"I have no doubts that people will eventually lose their life savings in some bullshit like $tsla

And then people while whine and wonder why nobody saw this coming

The signs were always there just nobody paying attention 

It's inevitable...  🖕🖕🖕to all tesla pumpers",-1
"$TSLA update $724.37

⬆️failed-⬇️ red day reversal confirmed the downtrend with an

inside red week #thestrat",-1
"What's the most overvalued company you hold? 

Mine is $COST",-1
"This weekend, I enjoyed celebrating my favorite #dividend stock of all time, $JNJ! (I think I’ll add to my position this week.) Make sure to follow me on Instagram for fun updates like this one! 📈 Who else enjoys investing in JNJ? (Disc: I’m long JNJ) https://instagram.com/p/CdoERZyJfCF/",1
"D.E. Shaw back with a decent stake in $GME again- 663,661 shares

Fun fact: D.E. Shaw was the hedge fund that Jeff Bezos kicked off his Wall Street career at before before he left to start Amazon.

https://t.co/giidVVMf8s",1
Why is everyone shocked $wmt numbers were bad? $amzn told you retail was trash and you guys kept bidding up Walmart everyday for no reason. You really thought people quit spending on Amazon and the surplus went to Walmart?,-1
$FB Nice.,1
Small gains 🥰 $BABA,1
$UBER for the Long haul! $$$,1
"$WMT
 The result of allowing more unpaid customers to walkout without penalty.",-1
$SE beat is the biggest surprise of the year,1
Update: Intraday max move down from alerted DOWN prices: $BRDS 13% $IDRA 15% $PPSI 10% https://stockhorizon.com/?marker=5b694116262744146b75ad21c7acb868#performance,-1
Who is this chump? I was shorting $AAPL from $180,-1
"This is a massive fuckin deal. Elon, Tesla, and SpaceX are about to secure significant future materials that many other companies will need as well in the future. They are thinking 10 steps ahead of everyone. $TSLA #Tesla",1
"Fun Fact: 
@Waymo
 open sources its self-driving dataset, and invites the public to solve various challenges.
#Tesla hides its data set, and refuses to release even basic disengagement statistics.
#PhonyStark #FullSelfDriving #Robotaxis #Vaporware $TSLA $TSLAQ",-1
"$BRK.B 
The BuffDog is buying stock all this time while everyone else be like…",1
Is $ONON totally screwed on supply chain issues now?  Trading like it.,-1
"Premarket movers 📈👀
$PPSI +20%
$BRDS +35%
$MITQ +39%
$IDRA +60% 🚀",1
"A lot of great stocks out there trading at a discount

Given the volatility in the market, it is always important to LAYER into your positions

10 Stock Watchlist:
$AAPL
$MSFT
$GOOGL
$V
$MPW
$O
$TROW
$SBUX
$TGT
$DLR

What is on your watchlist?",1
"US labor board says Starbucks, $SBUX, unlawfully fired seven for union efforts.",-1
"i have 2 PP exits in $WMT  n $SE shorts   both live still

so profit is assured",1
"James Simons of Renaissance Technologies LLC (Medallion fund) - AUM $130B 
Buys $GME ($51 million stake up 118 times)
Buys $TSLA ($1.7 billion up 109%)
Sells $AMC (slashed its AMC stake by 61% to 1.8 million shares from $127 million to $45 million)",1
"Happiness as per most people’s definition, is not what 
@elonmusk
 pursues. A better future for human is. I have no concern regarding the distraction from the Twitter deal. It simply creates better opportunity to buy more $TSLA. I do worry about Elon’s safety. 1/X",1
"Never doubt $HD

Earnings per share: $4.09 vs. $3.68 expected

Revenue: $38.91 billion vs. $36.72 billion expected",1
"$DDOG $NET $SNOW $GTLB $MDB are all horrible businesses and sure to go to 0

Plz keep selling them indiscriminately so I can buy more shares ",1
"First out// $SUNW: Sunworks Clocks 406% Revenue Growth In Q1
https://marketbit.pro/news/2022/05/16/sunworks-clocks-406-revenue-growth-in-q1",1
$AUVI 1.44 lets go and ram it,1
"$FRGE is Dead to me. 
Isn't building higher low anymore. https://t.co/FBhON50pd5",-1
$VUZI $LGVN $AUVI $VERU 📈📈📈,1
"$BWV $AUVI $DTC - LI, ARVL and SUNW among pre market gainers",1
Good plays everywhere. $AUVI was my main profit today. Nice little account challenge for myself.,1
"$PG & $ABBV paying dividends today 💰

Long & strong on both 🔥",1
$AUVI I want to see $1.40 as our new support and build brick by brick from there.,1
"$GFAI so far, so good! I’d trim a lot here. Looks like volume is peaking",1
"+7% to the top if you exited like a king.

Now on $BRDS",1
"I will say it right now, $GM is a dog of an investment. Any EV company spewing 30 new models (or 10 new models) is DOA. Invest in the best $TSLA",-1
"$SE - Sea Limited jumps as Q1 tops expectations, tweaks guidance citing 'elevated macro uncertainties'",1
"He’s also lying about what the CEO said. He said an external audit wasn’t possible, not that he wouldn’t share the info. 

Lawsuits and margin calls are inevitable.  Couldn’t happen to a better guy. 

And btw $TSLA is going to $410 at minimum",-1
"@VoltInuOfficial
  Believe me the reversal is imminent! Do y’all know who you VOLTING ⚡️with..One direction numbers! $VOLT #voltarmy 
@elonmusk
 
@saylor
 $tsla #plaidarmy",1
$SPACEX $TSLA all take my money,1
"*APPLE SHARES FALL 22% FROM JANUARY PEAK AMID TECH SELLOFF 

$AAPL",-1
"Weed stock gains still accelerating in pre-market. 

$TLRY +17%
$ACB +12.5%
$CGC +12%
$MJ +6.6%",1
$AVRO - Avrobio stock rises as gene therapy for rare disorder shows promise in interim data from trial,1
"$COST Spent the week under the 200D, not good. 

You want it back over 508 ASAP.. 10 buck bounce if it goes for it then we see",-1
Inshallah $BLK die in this market crash so they have to liquidate their housing assets,-1
"From ath, $aapl dropped 30%, $amzn dropped 35%, $tsla dropped 40%, I think we are pretty close to bottom if didn’t go over already",-1
"$HD  back short  failure to hold 10ma daily 

i regret covering $SE  freeroll",-1
Come on $COST... you are my only red stock today. Get with the green flow.,-1
"It's not easy to invest in Biotechs.

$XBI is trending and down another 3.5% today.

Here's the yearly look 😬",-1
"As a shareholder of $BRK.B, I demand a full letter on why Buffett bought $PARA, I mean seriously",-1
$AUVI setting up to be a late bloomer. over 34 million shares traded on a float that is under 7 million. Its got to pop sooner or later.,1
"$GLBE 
Check this out -  largest volume since IPO after earnings result didn't seem as bad as one originally thought.  
 
Still under IPO and 74% under the highs. 
 
GMV: $455 million, up 71%. 
Revenue: $76.3 million, up 65%. 
Gross profit: $29.9m, up 94%. 
 
#SMAPRO",1
"$ctra 🔥🚀

Stanley Druckenmiller 13-F bets big on energy:
In the first quarter of 2022, #StanleyDruckenmiller took positions in #CoterraEnergy | $CTRA, as well as Philips (PSX), and topped up an existing position in Chevron (CVX).",1
Been watching it for a while. Been checking net.un too. Feel like O is such a solid reit,1
"🚨 WATCHLIST! 🚨

Expected moves: 🔥🔥
$AAPL ±$5.74👀
$AMD ±$5.88🚀
$NVDA ±$12.26👀
$WMT ±$6.88 🚀

Green levels- ideal entry ✅
Blue levels- potential price targets/ re entry points. 🥶

Taking the cons with the most volume in the EM. 😈",1
"Walmart sinking more than 10% today, on pace for its worst day since 1987, as the CEO warns inflation is eating into its bottom line. J.P. Morgan's Chris Horvers explains the ""bifurcation"" happening in the consumer and one name he's most bullish on reporting this week. $WMT $HD",-1
"$LUNA price action destroying alt coins today😬

$APE -30%
$AVAX -28%
$SOL -20%
$DOGE -18%",-1
"Tesla is aiming to accelerate the world to sustainable energy.. We’re aiming to accelerate your gains! When you mint GymKongz you’ll have the chance to do both by having the chance to win a Tesla! 
@Tesla
 
@elonmusk
 🦍🔥

#wentesla #GymKongz #protein #giveaway",1
"Sea Game Revenue Tops Estimates, Offsetting E-Commerce Slowdown https://finance.yahoo.com/news/sea-quarterly-loss-widens-consumers-104605946.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr via 
@Yahoo
 $SE #StocksToWatch",1
$WEAT up 15% on the day 👀,1
Good Morrrning Retail!!! Todays Plays: $BBIG $PPSI $MARA $SOFI $SLDB $DIDI $AMC $BRDS Good Luck 🍀,1
"$AMC is having another moment.

$AMC +24%
$HYMC +45%

Check out their wild 1yr chart 🤯",1
"PREMARKET MOVERS
$C | $COIN | $JD | $TGT | $UAL | $BRDS",1
"$TSLA 🚀🚀🚀
This is a good entry point.",1
"It is almost like he just needed an excuse to dump $TSLA shares without the company collapsing. And now that he has billions in cash, there is no longer need for pretending to buy $TWTR anymore.",-1
$SHOP down 18% this morning after missing on earnings 😓,-1
"What will 
@ElonMusk
 cheerleaders say if he backs out of his Twitter acquisition?

He says the deal is “on hold” now until after he can ascertain what percentage of Twitter’s daily active users are bots.

Or maybe until 
@Tesla
 stock goes back up. 🤔",-1
"Rivian $RIVN provided strong production numbers last night, 2,553 vehicles produced in Q1.  The ramp will only get stronger from here w/ explosive growth ahead.  Plenty of cash to burn through as they grow.  This is like buying Tesla $TSLA back in 2012. Doubling my position today",1
$ctra 🔥🚀,1
R.I.P. Walmart $WMT,-1
$WMT Walmart starting to lose its footing 📦 Dipping below long term support,-1
"This chart shows the last 6 years of  $AMZN. The Trend line shows the 6 year uptrend! 

If this cracks, you will have an amazing bargain price!",1
$FRGE - Forge Global stock tumbles 32% ahead of Q1 earnings report https://t.co/NUgCPlMBIL,-1
"$RSX, Vaneck's Russian ETF, is down 30% since Friday.

Traders are keeping an eye on this one.",-1
$IIPR at a 5% yield seems like a solid buy 💰,1
Super happy I was able to call $EOG back when it was around $110!,1
$SE wave 4 complete post earnings dump show begins,-1
"Early stock gainers showing volume 🌞
$IDRA 
$MITQ 
$BRDS 
$AUVI 
$PPSI 
Stop by to check the float & short interest
#stocks #premarket #stockstowatch #StockMarket",1
The goal is to accumulate the most shares in the best companies in the world. I’ll say it again… The goal is to accumulate the most shares… #tesla $tsla,1
I gave you $AUVI at 0.90 . Put some respect on my name . News out today . Always ahead! No need to “pump” !,1
"$BLK going downhill.
Their clients are not pleased.",-1
$UPST straight plummeting following earnings 😱,-1
Stay on Target? $TGT down 2% today. Earnings tomorrow. Investors nervous after Walmart this morning? $WMT down nearly 11%.,-1
$RBLX Having a hard time holding onto any momentum. The market is green and everything’s running kind of feel like we’re stuck in the mud,-1
"$GME CEO of Belk joins Gamestop

Looks like his childhood aspirations are coming true 🧑‍🚀🚀🌙",1
"Now we know why 
@elonmusk
 is bashing $TWTR stock and trying to get a better price. He doesn’t have the money for it and has to sell more of his shares to buy it. Could have been truthful from the beginning ? $TSLA",-1
"Nice print for $BRDS Size: 102620 Price: 1.25 Amount: $128,275.00 Time: 931
See more: https://tradewithalerts.com/last-print/BRDS
Join https://tradewithalerts.com/signup to get REAL TIME prints.
Runners 📈: https://bit.ly/2VYiZSa
Losers 📉: https://bit.ly/3wWw0sc
Gappers 🪜: https://bit.ly/3kEfjiV",1
Growth Acceleration Ahead: Why Jumia Stock Is Surging $JMIA https://newsfilter.io/articles/growth-acceleration-ahead-why-jumia-stock-is-surging-2e9cdc904b631675c27348831ab69c7d,1
"Alibaba earnings date CONFIRMED!
Mark May 26 on your calendar, it's gonna be 🔥🔥🔥
$BABA",1
"The damage that 
@elonmusk
 has recently done to his own reputation as well as the 
@Tesla
 brand is incalculable. Surrounded by ""yes"" people & wallowing in a megalomaniac-like thought process, he probably doesn't even fully realize the harm he has done.",-1
$WMT is the #1 trending ticker on Stocktwits with a 48.20% positive sentiment,1
If we all short $BLK at the same time there’s nothing they can do to stop us,-1
The $NVDA of today vs. $csco of 2000 analog is not looking very good for NVDA.,-1
"Got to be the best looking car on the roads by far can a get one for my birthday 
@elonmusk
 
@Tesla
 🤣🤣🏴󠁧󠁢󠁳󠁣󠁴󠁿🙋‍♂️🖖",1
"Top Watch 👀 

$IDRA
$AUVI 
$PPSI 
$ONON 
$SE 
$BRDS 
$MITQ 
$JMIA 
$DTC 
$SUNW",1
$AUVI with the textbook wave riding the 50 on the 2min .. beautiful to see 😍,1
"$HD solid earnings beat across the board, with comps +2.2% vs est (3.0) a big standout; shrs +4.6% in pre-mkt trading",1
They are liking $ONON this morn.  $SMH,1
"Social Media stocks catching bids alongside $TWTR’s +30% move.

$FB +3.5%
$SNAP +4.5%
$SOCL +5.5%
$PINS +11%",1
Before this print $WMT was in the green ytd vs -27% #retail index. Comps right in line 3%. How they were surprised by costs/mix shift to lower margin grocery (where they are gaining share) is a head scratcher. But hey weather driving grill sales now. More momentum for $HD,1
"My Top 5 Dividend Payers: 

1.)  $840 - Johnson & Johnson $JNJ 🩹
2.) $444 - T.Rowe Price $TROW 💰
3.) $441 - AT&T $T 📱
4.) $370 - ABBV  $ABBV 💊
5.) $329 - Target $TGT 🎯

Love the diversity & the fact that there are NO OIL stocks on this list. 

What stocks make up your Top 5?",1
"$MULN up 48% since this post from 
@NauticusTrading
!🔥",1
"My $abbv shares are generating over $1,300 in passive income on a yearly basis without reinvesting. Not bad. This gives the stock support in a rocky market.",1
$WMT has a cost problem,-1
$RBLX could end up red after being up 20%. I wouldn’t be surprised.,-1
"you can't make this up

$UPS
$WMT
$KR

all up today, all segments $AMZN is in logistics,retail,groceries

but Amazon has cloud and that makes it tech, which makes it a $0",1
"$SPX testing the highs, in a range since the open.. best to see this close above 4020 to set up for 4063 tomorrow

$AAPL stuck near 145 for most of the day.. if we see 150 this week it can run to 153-156 next

$NVDA 183 next big level to break to set up for 200 by earnings",1
"Remember last time I pounded the table on $GFAI under $0.50…. it ran to $1.9. We’re gonna do it again. Revenue, acquisitions.",1
"What's going on with $GLBE?
I mean, an overreaction is one thing but this reversal is next level.
Congrats to anyone that bought on the low this morning.",1
$GFAI Glad I got in at .48 Up 38% now!🚀📈🔥,1
"$TSLA
 New greatest EV power saver business combination coming!!! Imagine 
$IPWR
 tech giving Elon a 30-40% EV energy saving boost. Pushes batteries to 140% which mean greater range than what currently sell cars for. 

That separates Tesla from the rest of the EV markets",1
"$TGT is bright ass #green sitting on a 15 p/e...
because unlike $WMT with a 30 p/e ...
15 of it all ""blue sky""...
@Target
 ain't sourcing from 50 countries in Shenzhen, Communist China",1
"It’s a beautiful, watching the prophecy unfold $GME",1
"Top Positive News Movers Premarket: 

I$DRA: +62% Shares Positive Results from Investigator-Sponsored Trial in Melanoma Patients at Amsterdam UMC 
$MITQ: +38% Earnings 
$BRDS: +35% Earnings",1
"Inflation causing major problems for $WMT. Despite stronger-than-expected sales, earnings were 12% below estimates.

How stunning of a miss was this? 

With Refinitiv data since 1992, Walmart has never posted a bigger earnings miss - or anything close to the size of this miss.",-1
"Early Gainer Run = $AUVI = Like if Bullish !

#StockMarket #stockstowatch #401k",1
"On Fidelity Today:
#GME 95% buy orders
#AMC 86% buy orders
The crimes are so blatant haha. 
I'm not selling until I'm on the moon. 
👏👏👏👏👏👏👏👏👏👏👏",1
$RBLX gave a #long signal five days ago! +30% thanks to Deep Signals Indicator.,1
"$HD reported EPS is $4.09 (10.77% beat)

Revenue is $38.91 billion (3.38% beat)

$HD is even raising guidence is this environment, that’s confidence

Long & strong 🛠💪",1
$ONON's in Downtrend: Moving Average Convergence Divergence (MACD) Histogram just turned negative. View odds for this and other indicators: https://srnk.us/go/3663717 #OnHoldingAG #stockmarket #stock,-1
"RT this if you DIDN'T panic sell
💎🙌

#AMC #GME $GME $AMC 🦍
",1
$AMC may be the stock of the century. #MOASS #BUY #HOLD #WIN 💪🇩🇪,1
If you think $luna is having a bad time remember $FB is among one of the worst performing stock,-1
"The All-In Podcast Elon interview was one of the best interviews I’ve seen of Elon. 

This is the type of setting, environment, and questions that bring out the best of Elon. 

Watch it! 👀👍

https://youtu.be/CnxzrX9tNoc

$TSLA #Tesla",1
"if you ignore what's happening with $wmt and other consumer names, it's a bright day",-1
"Sunworks, Inc's quarterly revenue growth rate YoY of 269.20% ranked 164 out of 5731 companies in our database. 

https://stockideashq.com/stocks/sunw?source=twitter-bot $SUNW",1
In other news 70% of Elon's followers on twitter are indistinguishable from $TSLA shilling bots.,-1
"$WMT down more than 7% premarket, and nearly 15% over the past month.
Now almost on par with the drop of $COST during a similar period.
If I'm choosing one of these to play, it is $COST.
On watch.",1
$NEGG Trending and up over 50% today 👀,1
"FREE #OPTIONS Ideas 🤯

Scale out when above 25% Profit

$AAPL 150C>147.19 | 144P<144.51 (TOP PICK)
$MU    72C>71.87 | 70P<70.49
$NVDA 180C>177.20 | 170P<171.74
$MRNA 141C>140.82 | 134P<134.60

Tomorrow is a Critical day in the stock market be READY

101 ❤️for SECRET Bonus Picks",1
I’m betting that 1/ $TSLA can outperform other long duration equities as int rates rise; and 2/ Fed will back off on tightening with economic growth already slowing,1
Congrats to all the $AMD and $GOOG bulls 🍾,1
$ARKK showing signs of breaking down as it falls over 6% on the day,-1
$LUV Best long-term play in US Airline industry. LUV will be profitable the remaining three quarters this year. They have a multi-year fuel hedging program to provide insurance against spikes in jet fuel prices with significant fuel hedging protection in 2022 #oil #natgas,1
"$baba is now the second biggest position in my portfolio. Check the revenue and free cash flow of this company! Can't believe I was able to buy this for 85 dollars per share. Thank you, Mr Market; feel free to keep crashing it so I can buy more!
#stocks #marketcrash",1
$SQ $NVDA paying today,1
"The obliteration continues...

$COIN down 18% after the open 🥴",-1
"JUST IN:
⚡TESLA TO RECALL 107,293 UNITS OF SHANGHAI-MADE MODEL 3 & MODEL Y FROM MAY 23.
https://samr.gov.cn/zw/zh/202205/t20220516_344869.html
#CHINA #TESLA $TSLA",-1
"Heads up, Airbnb, AMD, Lyft, & Starbucks are reporting after the close. 

Here's the price action on the day so far...

✦ $ABNB ▼ 6.60%
✦ $LYFT ▼ 3.60%
✦ $SBUX ▼ 1.57%
✧ $AMD △ 0.50%",-1
$rblx has been consistent wins lately,1
$ROKU down 15% after hours 😬,-1
"$JMIA from 800,000 packages delivered in Q1 2021 to 3,000,000 delivered in Q1 2022. 🤯 wow. $420 in operating cash. Orders increased 40% year over year, GMV increased 27% year over year, Revenue up 44% year over year. 
ACCELERATED GROWTH 🚀",1
"$CVS trading down 5% after reporting a beat this morning.

We are watching $DIS, $UBER, $ZNGA, $MGM & $TWLO at the close.",-1
"$F: Always a great 🐻market buy, look how well it comes out of #recessions and periods of #inflation... 
@Ford
 #investing #trading #Tradingview",1
"Dear 
@linderrama
,
2 years ago, you wrote that #Tesla building its own ventilators for #COVID victims was ""a promising step toward rectifying the world's massive ventilator shortage"".
Can you follow up on how many #PhonyStark's actually made? $TSLA $TSLAQ",-1
"Sea Limited traded 75% above average volume, $SE up 13.74%",1
Always suspicious when no specific amounts mentioned $AUVI,-1
"$FB has been exhibiting unusual strength last few days. Apparently, I am not the only one who thought about  the opportunity for Berkshire 13f. That said could be a sell-off if doesn't show up.",1
$AMZN -40% in 30 trading days.,-1
"Premarket stock gainers with volume
$IDRA 
$BRDS 
$AUVI 
$MITQ 
$PPSI 
Come by to check the float & short %
#stocks #premarket #StockMarket #stockstowatch",1
"#GME #GMESQUEEZE 
Don't forget $GME price went in 1 single day from $94.97 to $380.00. It will happen again don't get caught off guard.
",1
"Call me crazy, but I can't wait to buy more shares of the best SaaS companies in the world. $DDOG, $SNOW, and $CRWD are going to get the lions share. I have so much confidence in these 3 companies. New 💰 coming in soon and I know exactly where I'm putting it.",1
"Elon Musk is using a 'dog ate the homework' excuse to potentially back out of buying Twitter and there is now a less than 50% chance the deal gets done, Wedbush says",-1
Happy New Year ! #pilotlife #timgt #aviation #UnitedAirlines $UAL $SWA $DAL,1
$AMZN created 1.1M #jobs in #india,1
Yes. It's in the best interest of twitter & $TWTR for the company to prove the accuracy of their estimates via third party validation so the deal can proceed. At the moment they're acting like a cheating partner who paranoidly snatches at/hides their phone every time it buzzes,-1
"Walmart $WMT Crushed (very disappointing from the, should see new 52 week low) Target $TGT is next to be crushed IMO. Home Depot $HD shows where the true leadership is. Retail spend will be tricky going forward this year.",-1
$TSLA Trending and down 9.5% after Musk acquires Twitter 😬,-1
"$SUNW down 11.63% at $1.52 (Volume 168k, AvgVolume 962k) in the last 16 min

#Earnings 17 minutes ago
Sunworks Reports First Quarter 2022 Results",-1
"$COST looks so good here, its still the place to shop for those worried about inflation and recession.",1
"$GLBE is going to be that multi-bagger investors will look back on and think “why did I sell”?

Analyst expectations should have accounted for their European business and acquisition expenses

Zero thesis change and will maintain accumulation strategy",1
"On Holding AG traded 63% above average volume, $ONON up 3.63%",1
"*AMAZON SHARES SINK TO LOWEST LEVEL SINCE APRIL 2020 

$AMZN",-1
"Right. $TSLA, $ARKK and $BTC being decimated will mark the end of the bear market. And a great buying opportunity. Excepting the afore-mentioned and their ilk of course.",-1
"$BABA upgraded from Neutral to Overweight at JPMorgan Chase, price target raised from $75 to $130",1
"Another 4000 Teslas export delivery made from Giga Shanghai. 🚢 

Giga Shanghai is coming back with vengeance! 🇨🇳

$TSLA #Tesla",1
"bro $MCD doing real bad in the world theater

🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩",-1
Bullish $GOOG,1
"Love articles like this acting like #GME is over. 

Hyping a documentary about the “fall of #Gamestop” 

Hint: it’s not over for $GME. Not even close. But nice try MSM!",1
$SE very oversold here . I don't think it will drop that much even if earnings is bad,1
When $GFAI squeezes it will be epic.. their next earnings will slay it with all they have going on now.. 4800 robots delivered already now COVID relief in China .. They still have the T-Series coming out! Long here..,1
Bank of America Upgrades $NIO from neutral to BUY!,1
I used to own $WMT but $COST is really the only retail i'm in anymore.  Well run and incredible long term equity,1
"$MSFT plans to nearly double global merit-based salary budget ⁦
@aatilley",1
"YTD Price Movement:

$NFLX -68%
$FB -37%
$AMZN -31%

$BTC -22%

Is crypto more stable than stocks?",-1
"Earnings for Wed, May 18 (BEFORE THE 🔔)

$TGT Target Corp. ⏰ 6:30 AM ET
🎯 - EPS: $3.02 | Rev: $24.42 B

$ZIM ZIM Integrated Shipping Services Ltd. ⏰ 7:00 AM ET
🎯 - EPS: $12.65 | Rev: $0.00 M

$LOW Lowe's Companies, Inc. ⏰ 6:00 AM ET
🎯 - EPS: $3.24 | Rev: $23.78 B",1
"On this day in 1997 Amazon $AMZN went public onto the NASDAQ through an IPO

If you had invested $1,000 in Amazon’s IPO and held to today you’d currently have $1.5 Million",1
"Good Morning #APES we are here to stay until we get our payday!  $AMC $GME we are here and we are #APESNOTLEAVING #ApesTogetherStrong
",1
"I'm kind of excited to add $TGT to my Buy list - Before, they've always been right on the money, as in, not worth buying because they're priced exactly as they ought to be. Now, like their brick-and-mortar store items, 
@Target
 stock is a bargain!",1
$JMIA dip buys at 6.45 now up to 6.94 for NHOD🔥,1
$COST - Home Depot Vs. Costco: Which Is The Better Buy? 'It might surprise some to learn that Home Depot stock has outperformed Costco's over the last ten years.',1
"Stocks I’m watching this week 👀 

Monday:
$DUK $PLUG 

Tuesday: 
$RBLX $U $WYNN

Wednesday:
$PSFE $DIS

What’s on your watchlist?",1
"#BullishAlert 
Bullish Stock Alert: $SE at $80.03

This alert is meant for swing and day traders. For details, please see the pinned tweet on top of our profile.

#SwingTrading #StockPicks",1
$APD is a sleeper & $PEP is a beast🔥,1
"$AFRM reported earlier today and is trading down 23%

Watching $NET, $Z, & $EXPE to report after the close 👀",-1
"/ 
@elonmusk
 has demonstrated that you can be smart , rich , famous and Stupid As Hell . This Aaa Hat has driven down stock price of 
@Twitter
 and 
@Tesla
 buy Weaponizing 
@Twitter
 as means to drive deal . Think about how he will F with the stock market daily 
@MSNBC
 
@CNN
 JustSayNO!",-1
"$GFAI What a boom 😎
$BBIG be patient",1
"I like for moat, revenue, growth and p/e ratios
$tsm 
$fb (nice p/e ratio)
$goog
$coin 
$qcom",1
